Model,shipping_container.g
Export Date,2026-08-17 16:34:42
Total Errors,53
Total Warnings,0
Total Passed,25

Severity,Test Name,Description,Object,Path
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_floor/container_floor_9.r /all/shipping_container/container_frame/container_backpanel/container_corner_connection-525.r count:1 dist:1.3671mm @ (-2869 -1092 1506.02)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_floor/container_floor_4.r /all/shipping_container/container_frame/container_side_frame1/side_wall_2_5.r count:3 dist:0.402903mm @ (-73.0016 -1156 1531)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_floor/container_floor_3.r /all/shipping_container/container_frame/container_backpanel/container_corner_connection-501.r count:5 dist:12.6087mm @ (-2869 1148 1507.39)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_doorframe/doorframe_lower_lintel.r_01 /all/shipping_container/container_frame/container_door_latches/container_latch_09rh.r count:2 dist:0.34032mm @ (2967.33 -804 1595)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r_015 /all/shipping_container/container_frame/container_doorframe/container_frame_cornerpost/doorframe_cornerpost2_1.r count:1 dist:0.333359mm @ (2987 1212 2501)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r_013 /all/shipping_container/container_doors/container_doorb/container_doorhinge-1022/container_doorhingepin.r count:1 dist:11.0713mm @ (2987 1195.11 1819)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r_008 /all/shipping_container/container_doors/container_doora/container_doorhinge-824/container_doorhingepin.r_04 count:1 dist:11.0713mm @ (2987 -1206.19 1723)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r_005 /all/shipping_container/container_doors/container_doora/container_doorhinge-824/container_doorhingepin.r_04 count:1 dist:11.0713mm @ (2987 -1206.19 1819)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r /all/shipping_container/container_frame/container_doorframe/container_frame_cornerpost/doorframe_cornerpost2_1.r count:1 dist:0.500001mm @ (2987 1212 1715.5)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_door_latches/container_latch_09lh.r /all/shipping_container/container_frame/container_doorframe/doorframe_upper_lintel/doorframe_upper_1.r count:2 dist:0.556479mm @ (2967.11 -292 4315)","all","/all",""
